outlier_periods,avg_messages,max_messages,avg_iqr_distance,avg_period_q1,avg_period_q3,avg_period_iqr
24,93.79,235,35.21,0.0,7.46,7.46
24,284.92,2106,24.25,0.0,8.17,8.17
22,156.82,742,45.66,0.0,7.44,7.44
22,58.0,192,13.18,0.0,7.09,7.09
21,94.38,375,41.06,0.0,6.08,6.08
21,62.19,111,21.69,0.0,6.73,6.73
20,72.95,174,28.37,0.0,6.94,6.94
19,129.58,253,37.9,0.0,9.68,9.68
18,42.44,97,21.07,0.0,4.06,4.06
17,64.53,108,43.3,0.0,3.06,3.06
17,64.59,111,40.04,0.0,3.18,3.18
17,39.71,96,14.87,0.0,4.12,4.12
17,58.76,123,11.96,0.0,9.28,9.28
15,122.93,364,38.35,0.0,4.88,4.88
15,62.67,211,36.61,0.0,3.33,3.33
15,34.47,67,25.54,0.0,1.67,1.67
14,82.0,122,54.84,0.0,2.86,2.86
14,58.0,108,39.7,0.0,3.32,3.32
14,42.79,96,32.86,0.0,1.86,1.86
14,38.64,99,28.81,0.0,2.14,2.14
14,41.93,102,27.24,0.0,2.36,2.36
14,30.57,73,25.28,0.0,1.21,1.21
14,72.71,140,18.91,0.0,6.71,6.71
14,37.21,114,17.32,0.0,3.61,3.61
14,26.79,82,16.57,0.0,2.14,2.14
14,35.57,88,16.06,0.0,4.71,4.71
14,22.43,47,14.3,0.0,1.64,1.64
14,36.07,129,12.56,0.0,4.39,4.39
14,22.29,81,12.46,0.0,2.21,2.21
14,56.5,96,6.11,0.0,10.21,10.21
13,53.92,126,42.27,0.0,1.46,1.46
13,55.38,137,23.91,0.0,2.62,2.62
13,35.92,118,23.7,0.0,1.92,1.92
13,37.69,86,23.22,0.0,2.31,2.31
13,28.62,50,22.63,0.0,0.92,0.92
13,25.38,73,18.09,0.0,1.62,1.62
13,25.69,75,17.88,0.0,0.92,0.92
13,15.38,26,10.39,0.0,1.31,1.31
12,54.75,135,35.75,0.0,1.17,1.17
12,56.83,130,34.93,0.0,4.77,4.77
12,51.5,199,22.45,0.0,2.5,2.5
12,32.0,66,18.98,0.0,2.0,2.0
12,50.92,142,18.2,0.0,5.35,5.35
12,22.5,56,15.81,0.0,0.92,0.92
12,40.42,190,15.18,0.0,3.33,3.33
12,171.83,423,10.56,0.0,14.08,14.08
12,55.83,134,5.48,0.0,10.56,10.56
11,41.73,157,33.33,0.0,1.09,1.09
11,53.09,151,28.66,0.0,4.5,4.5
11,35.0,63,27.29,0.0,1.55,1.55
11,31.82,90,25.15,0.0,1.45,1.45
11,36.09,94,23.24,0.0,2.82,2.82
11,27.91,93,21.8,0.0,0.82,0.82
11,20.45,46,18.36,0.0,0.64,0.64
11,23.64,37,15.42,0.0,1.73,1.73
11,29.82,59,13.15,0.0,3.73,3.73
11,16.27,32,12.05,0.0,1.0,1.0
11,16.18,41,11.91,0.0,0.82,0.82
11,10.64,24,9.77,0.0,0.55,0.55
11,13.91,36,6.73,0.0,1.36,1.36
10,60.4,117,42.79,0.0,2.4,2.4
10,26.1,56,24.55,0.0,0.6,0.6
10,25.7,132,22.9,0.0,0.6,0.6
10,35.2,107,22.4,0.0,2.72,2.72
10,21.1,46,19.4,0.0,0.7,0.7
10,26.8,84,17.62,0.0,2.1,2.1
10,34.3,65,14.48,0.0,3.3,3.3
10,13.0,30,12.6,0.0,0.4,0.4
10,118.4,188,6.53,0.0,16.15,16.15
10,9.9,36,5.6,0.0,1.3,1.3
9,26.89,105,25.3,0.0,0.56,0.56
9,36.67,85,22.87,0.0,1.78,1.78
9,14.33,29,12.67,0.0,0.78,0.78
